,% Resolved,# Resolved,% Function,# Function,% File,# File
Blackbox AI Agent (lite 20241220),49.0,147.0,63.33333333333333,190.0,81.33333333333333,244.0
Gru(2024-12-08) (lite 20241208),48.66666666666667,146.0,61.66666666666667,185.0,83.33333333333334,250.0
Globant Code Fixer Agent (lite 20241127),48.333333333333336,145.0,67.33333333333333,202.0,84.0,252.0
devlo (lite 20241122),47.333333333333336,142.0,66.66666666666666,200.0,84.66666666666667,254.0
Kodu-v1 + Claude-3.5 Sonnet (20241022) (lite 20241207),44.666666666666664,134.0,52.0,156.0,65.0,195.0
CodeStory Aide + Mixed Models (lite 20240702),43.0,129.0,54.333333333333336,163.0,71.66666666666667,215.0
OpenHands + CodeAct v2.1 (claude-3-5-sonnet-20241022) (lite 20241025),41.66666666666667,125.0,63.66666666666667,191.0,81.66666666666667,245.0
PatchKitty-0.9 + Claude-3.5 Sonnet (20241022) (lite 20241220),41.333333333333336,124.0,59.66666666666667,179.0,75.33333333333333,226.0
Composio SWE-Kit (2024-10-30) (lite 20241030),41.0,123.0,61.0,183.0,79.66666666666666,239.0
Agentless-1.5 + Claude-3.5 Sonnet (20241022) (lite 20241202),40.666666666666664,122.0,53.333333333333336,160.0,76.66666666666667,230.0
Bytedance MarsCode Agent (lite 20240912),39.33333333333333,118.0,56.333333333333336,169.0,79.66666666666666,239.0
Honeycomb (lite 20240820),38.333333333333336,115.0,54.333333333333336,163.0,68.33333333333333,205.0
Moatless Tools + Claude 3.5 Sonnet (20241022) (lite 20241117),38.333333333333336,115.0,55.00000000000001,165.0,73.33333333333333,220.0
AbanteAI MentatBot + GPT 4o (2024-05-13) (lite 20240627),38.0,114.0,51.66666666666667,155.0,69.33333333333334,208.0
Patched.Codes Patchwork (lite 20250104),37.0,111.0,44.333333333333336,133.0,53.333333333333336,160.0
AppMap Navie v2 (lite 20241113),36.0,108.0,55.666666666666664,167.0,71.0,213.0
CodeFuse-AAIS (lite 20250104),35.66666666666667,107.0,54.333333333333336,163.0,76.33333333333333,229.0
Gru(2024-08-11) (lite 20240811),35.66666666666667,107.0,50.33333333333333,151.0,74.66666666666667,224.0
Isoform (lite 20240829),35.0,105.0,53.0,159.0,71.66666666666667,215.0
Bytedance MarsCode Agent + GPT 4o (2024-05-13) (lite 20240723),34.0,102.0,53.333333333333336,160.0,74.0,222.0
SuperCoder2.0 (lite 20240806),34.0,102.0,62.66666666666667,188.0,65.0,195.0
Alibaba Lingma Agent (lite 20240622),33.0,99.0,57.333333333333336,172.0,75.0,225.0
Agentless-1.5 + GPT 4o (2024-05-13) (lite 20241028),32.0,96.0,50.33333333333333,151.0,69.66666666666667,209.0
CodeShellTester + GPT 4o (2024-05-13) (lite 20241111),31.333333333333336,94.0,48.333333333333336,145.0,67.66666666666666,203.0
Factory Code Droid (lite 20240617),31.333333333333336,94.0,54.666666666666664,164.0,72.66666666666667,218.0
Moatless Tools + Deepseek V3 (lite 20250111),30.666666666666664,92.0,54.333333333333336,163.0,74.33333333333333,223.0
AutoCodeRover (v20240620) + GPT 4o (2024-05-13) (lite 20240621),30.666666666666664,92.0,49.666666666666664,149.0,68.66666666666667,206.0
AIGCode Infant-Coder(2024-08-30) (lite 20240908),30.0,90.0,55.00000000000001,165.0,73.33333333333333,220.0
Kortix AI (claude-3-5-sonnet-20241022) (lite 20241203),30.0,90.0,55.333333333333336,166.0,73.0,219.0
Agentless + RepoGraph + GPT-4o (lite 20240808),29.666666666666668,89.0,47.66666666666667,143.0,70.33333333333334,211.0
Amazon Q Developer Agent (v20240719-dev) (lite 20240721),29.666666666666668,89.0,54.0,162.0,74.33333333333333,223.0
CodeR + GPT 4 (1106) (lite 20240604),28.333333333333332,85.0,50.66666666666667,152.0,66.66666666666666,200.0
reproducedRG (lite 20241117),28.000000000000004,84.0,50.0,150.0,71.66666666666667,215.0
SIMA + GPT 4o (2024-05-13) (lite 20240706),27.666666666666668,83.0,51.66666666666667,155.0,78.66666666666666,236.0
Agentless + GPT 4o (2024-05-13) (lite 20240630),27.333333333333332,82.0,48.66666666666667,146.0,68.66666666666667,206.0
MASAI + GPT 4o (2024-05-13) (lite 20240612),27.333333333333332,82.0,55.00000000000001,165.0,75.0,225.0
OpenHands + CodeAct v1.8 (lite 20240725),26.666666666666668,80.0,48.0,144.0,67.33333333333333,202.0
Moatless Tools + Claude 3.5 Sonnet (lite 20240623),26.666666666666668,80.0,53.666666666666664,161.0,78.66666666666666,236.0
IBM Research Agent-101 (lite 20240612),26.666666666666668,80.0,54.333333333333336,163.0,72.66666666666667,218.0
HyperAgent (lite 20240925),25.333333333333336,76.0,47.66666666666667,143.0,67.66666666666666,203.0
Moatless Tools + GPT 4o (2024-05-13) (lite 20240617),24.666666666666668,74.0,49.0,147.0,72.66666666666667,218.0
IBM AI Agent SWE-1.0 (with open LLMs) (lite 20241016),23.666666666666668,71.0,51.66666666666667,155.0,74.0,222.0
SWE-Fixer (Qwen2.5-7b retriever + Qwen2.5-72b editor) 20241128 (lite 20241128),23.333333333333332,70.0,53.333333333333336,160.0,69.33333333333334,208.0
SWE-agent + Claude 3.5 Sonnet (lite 20240620),23.0,69.0,51.66666666666667,155.0,71.66666666666667,215.0
Bytedance AutoSE (based on SWE-Agent) + GPT4/GPT4o Mixed (20240828) (lite 20240828),21.666666666666668,65.0,43.0,129.0,56.666666666666664,170.0
AppMap Navie + GPT 4o (2024-05-13) (lite 20240615),21.666666666666668,65.0,43.666666666666664,131.0,59.66666666666667,179.0
SWE-agent + GPT 4o (2024-05-13) (lite 20240728),18.333333333333332,55.0,42.0,126.0,57.666666666666664,173.0
